nombre,nombreCorto
Oficina Central,OCEN
Sucursal Norte,SNOR
Sucursal Sur,SSUR
Sucursal Este,SEST
Sucursal Oeste,SOES
Oficina Administrativa,OADM
Oficina Comercial,OCOM
Oficina Técnica,OTEC
Oficina Financiera,OFIN
Oficina de Recursos Humanos,RRHH
Oficina de Logística,OLOG
Oficina de Compras,OCOMPR
Oficina de Ventas,OVENT
Oficina de Marketing,OMKT
Oficina de Innovación,OINV
Oficina de Proyectos,OPRO
Oficina de Soporte,OSOP
Oficina de IT,OIT
Oficina de Seguridad,OSEG
Oficina de Producción,OPROD
Oficina de Calidad,OQUAL
Oficina de Planificación,OPLAN
Oficina Legal,OLEG
Oficina Internacional,OINT
Oficina Regional,OREG
Oficina Local,OLOC
Oficina de Capacitación,OCAP
Oficina de Atención al Cliente,OAC
Oficina de Desarrollo,ODEV
Oficina de Auditoría,OAUD
